Transcript: meu nome é São Paulo 29 de agosto de 2016 obrigado pela entrevista essa primeira sessão o que a gente queria fazer é capturar um pouco o espírito do que foi o período 
confidence: 0.9291933178901672 

Word: meu, start_time: 0.0, end_time: 46.7 
Transcript: mora do processo prevê a carta ao povo brasileiro a carta de 22 de Junho de 2012 quais serão os atores como é que se dividiam as ideias e de onde foi para o Júnior Júnior e a carta a conclusão de um de uma discussão que nós fazemos durante um mês mais ou menos de fim de maio até aquela data é quando nós observamos que havia uma combinação muito perigosa na economia que era ainda há resquícios da crise 2001 não lembrar que em 2001 teve uma combinação de situação da crise da Argentina a crise das torres gêmeas a crise da energia no Brasil 
confidence: 0.963170051574707 

Word: mora, start_time: 120.0, end_time: 120.4 
Word: do, start_time: 120.4, end_time: 120.9 
Word: processo, start_time: 120.9, end_time: 121.8 
Word: prevê, start_time: 121.8, end_time: 122.5 
Word: a, start_time: 122.5, end_time: 122.5 
Word: carta, start_time: 122.5, end_time: 122.7 
Word: ao, start_time: 122.7, end_time: 123.0 
Word: povo, start_time: 123.0, end_time: 123.1 
Word: brasileiro, start_time: 123.1, end_time: 123.3 
Word: a, start_time: 123.3, end_time: 123.8 
Word: carta, start_time: 123.8, end_time: 124.1 
Word: de, start_time: 124.1, end_time: 124.2 
Word: 22, start_time: 124.2, end_time: 124.9 
Word: de, start_time: 124.9, end_time: 125.0 
Word: Junho, start_time: 125.0, end_time: 125.6 
Word: de, start_time: 125.6, end_time: 126.5 
Word: 2012, start_time: 126.5, end_time: 127.3 
Word: quais, start_time: 127.3, end_time: 128.5 
Word: serão, start_time: 128.5, end_time: 128.7 
Word: os, start_time: 128.7, end_time: 128.8 
Word: atores, start_time: 128.8, end_time: 129.1 
Word: como, start_time: 129.1, end_time: 129.6 
Word: é, start_time: 129.6, end_time: 129.7 
Word: que, start_time: 129.7, end_time: 129.8 
Word: se, start_time: 129.8, end_time: 130.0 
Word: dividiam, start_time: 130.0, end_time: 130.5 
Word: as, start_time: 130.5, end_time: 130.7 
Word: ideias, start_time: 130.7, end_time: 131.3 
Word: e, start_time: 131.3, end_time: 131.4 
Word: de, start_time: 131.4, end_time: 131.7 
Word: onde, start_time: 131.7, end_time: 131.9 
Word: foi, start_time: 131.9, end_time: 132.2 
Word: para, start_time: 132.2, end_time: 132.4 
Word: o, start_time: 132.4, end_time: 132.4 
Word: Júnior, start_time: 132.4, end_time: 140.1 
Word: Júnior, start_time: 140.1, end_time: 140.4 
Word: e, start_time: 140.4, end_time: 140.8 
Word: a, start_time: 140.8, end_time: 141.6 
Word: carta, start_time: 141.6, end_time: 142.1 
Word: a, start_time: 142.1, end_time: 142.2 
Word: conclusão, start_time: 142.2, end_time: 144.4 
Word: de, start_time: 144.4, end_time: 144.7 
Word: um, start_time: 144.7, end_time: 144.8 
Word: de, start_time: 144.8, end_time: 145.2 
Word: uma, start_time: 145.2, end_time: 145.2 
Word: discussão, start_time: 145.2, end_time: 145.7 
Word: que, start_time: 145.7, end_time: 146.0 
Word: nós, start_time: 146.0, end_time: 146.1 
Word: fazemos, start_time: 146.1, end_time: 146.4 
Word: durante, start_time: 146.4, end_time: 146.7 
Word: um, start_time: 146.7, end_time: 147.0 
Word: mês, start_time: 147.0, end_time: 147.4 
Word: mais, start_time: 147.4, end_time: 147.7 
Word: ou, start_time: 147.7, end_time: 147.7 
Word: menos, start_time: 147.7, end_time: 148.1 
Word: de, start_time: 148.1, end_time: 149.2 
Word: fim, start_time: 149.2, end_time: 149.4 
Word: de, start_time: 149.4, end_time: 149.6 
Word: maio, start_time: 149.6, end_time: 150.0 
Word: até, start_time: 150.0, end_time: 150.1 
Word: aquela, start_time: 150.1, end_time: 150.6 
Word: data, start_time: 150.6, end_time: 150.7 
Word: é, start_time: 150.7, end_time: 151.1 
Word: quando, start_time: 151.1, end_time: 152.5 
Word: nós, start_time: 152.5, end_time: 152.7 
Word: observamos, start_time: 152.7, end_time: 153.3 
Word: que, start_time: 153.3, end_time: 153.7 
Word: havia, start_time: 153.7, end_time: 154.2 
Word: uma, start_time: 154.2, end_time: 154.3 
Word: combinação, start_time: 154.3, end_time: 155.6 
Word: muito, start_time: 155.6, end_time: 155.9 
Word: perigosa, start_time: 155.9, end_time: 157.0 
Word: na, start_time: 157.0, end_time: 158.2 
Word: economia, start_time: 158.2, end_time: 158.9 
Word: que, start_time: 158.9, end_time: 159.2 
Word: era, start_time: 159.2, end_time: 159.6 
Word: ainda, start_time: 159.6, end_time: 161.5 
Word: há, start_time: 161.5, end_time: 161.7 
Word: resquícios, start_time: 161.7, end_time: 162.0 
Word: da, start_time: 162.0, end_time: 162.5 
Word: crise, start_time: 162.5, end_time: 162.6 
Word: 2001, start_time: 162.6, end_time: 163.5 
Word: não, start_time: 163.5, end_time: 163.9 
Word: lembrar, start_time: 163.9, end_time: 164.4 
Word: que, start_time: 164.4, end_time: 164.5 
Word: em, start_time: 164.5, end_time: 164.5 
Word: 2001, start_time: 164.5, end_time: 165.0 
Word: teve, start_time: 165.0, end_time: 165.5 
Word: uma, start_time: 165.5, end_time: 165.7 
Word: combinação, start_time: 165.7, end_time: 166.8 
Word: de, start_time: 166.8, end_time: 167.0 
Word: situação, start_time: 167.0, end_time: 167.6 
Word: da, start_time: 167.6, end_time: 167.7 
Word: crise, start_time: 167.7, end_time: 167.9 
Word: da, start_time: 167.9, end_time: 168.0 
Word: Argentina, start_time: 168.0, end_time: 168.1 
Word: a, start_time: 168.1, end_time: 168.8 
Word: crise, start_time: 168.8, end_time: 170.0 
Word: das, start_time: 170.0, end_time: 170.2 
Word: torres, start_time: 170.2, end_time: 170.5 
Word: gêmeas, start_time: 170.5, end_time: 171.0 
Word: a, start_time: 171.0, end_time: 171.1 
Word: crise, start_time: 171.1, end_time: 172.6 
Word: da, start_time: 172.6, end_time: 172.6 
Word: energia, start_time: 172.6, end_time: 173.2 
Word: no, start_time: 173.2, end_time: 173.3 
Word: Brasil, start_time: 173.3, end_time: 173.4 


Transcript: muito ruim qual a possibilidade de ganhar e só era aquela dúvida que o governo PT no ambiente de chegar você que haveria a renegociação da dívida cambial e a questão do povo ruim conversar sobre isso com olhos Mercadante outras pessoas também buscam e nossas a perceber que era preciso não só que o governo gasta alguma coisa porque até que momento se cobrar do governo inclusive fazendo uma nova uma nova negociação com o fundo monetário não se cobrar 
confidence: 0.9173137545585632 

Word: muito, start_time: 180.0, end_time: 180.4 
Word: ruim, start_time: 180.4, end_time: 180.5 
Word: qual, start_time: 180.5, end_time: 183.1 
Word: a, start_time: 183.1, end_time: 183.1 
Word: possibilidade, start_time: 183.1, end_time: 184.4 
Word: de, start_time: 184.4, end_time: 184.6 
Word: ganhar, start_time: 184.6, end_time: 185.0 
Word: e, start_time: 185.0, end_time: 185.3 
Word: só, start_time: 185.3, end_time: 185.6 
Word: era, start_time: 185.6, end_time: 185.8 
Word: aquela, start_time: 185.8, end_time: 186.3 
Word: dúvida, start_time: 186.3, end_time: 186.5 
Word: que, start_time: 186.5, end_time: 186.9 
Word: o, start_time: 186.9, end_time: 187.2 
Word: governo, start_time: 187.2, end_time: 188.8 
Word: PT, start_time: 188.8, end_time: 189.0 
Word: no, start_time: 189.0, end_time: 189.1 
Word: ambiente, start_time: 189.1, end_time: 189.7 
Word: de, start_time: 189.7, end_time: 189.8 
Word: chegar, start_time: 189.8, end_time: 190.8 
Word: você, start_time: 190.8, end_time: 191.1 
Word: que, start_time: 191.1, end_time: 192.9 
Word: haveria, start_time: 192.9, end_time: 193.5 
Word: a, start_time: 193.5, end_time: 193.8 
Word: renegociação, start_time: 193.8, end_time: 194.6 
Word: da, start_time: 194.6, end_time: 194.9 
Word: dívida, start_time: 194.9, end_time: 195.4 
Word: cambial, start_time: 195.4, end_time: 200.0 
Word: e, start_time: 200.0, end_time: 200.2 
Word: a, start_time: 200.2, end_time: 200.3 
Word: questão, start_time: 200.3, end_time: 200.8 
Word: do, start_time: 200.8, end_time: 201.1 
Word: povo, start_time: 201.1, end_time: 204.4 
Word: ruim, start_time: 204.4, end_time: 204.8 
Word: conversar, start_time: 204.8, end_time: 206.9 
Word: sobre, start_time: 206.9, end_time: 207.2 
Word: isso, start_time: 207.2, end_time: 207.6 
Word: com, start_time: 207.6, end_time: 207.7 
Word: olhos, start_time: 207.7, end_time: 208.5 
Word: Mercadante, start_time: 208.5, end_time: 209.4 
Word: outras, start_time: 209.4, end_time: 209.8 
Word: pessoas, start_time: 209.8, end_time: 210.3 
Word: também, start_time: 210.3, end_time: 210.6 
Word: buscam, start_time: 210.6, end_time: 211.3 
Word: e, start_time: 211.3, end_time: 211.5 
Word: nossas, start_time: 211.5, end_time: 214.1 
Word: a, start_time: 214.1, end_time: 214.2 
Word: perceber, start_time: 214.2, end_time: 214.7 
Word: que, start_time: 214.7, end_time: 214.9 
Word: era, start_time: 214.9, end_time: 215.0 
Word: preciso, start_time: 215.0, end_time: 215.2 
Word: não, start_time: 215.2, end_time: 215.5 
Word: só, start_time: 215.5, end_time: 215.7 
Word: que, start_time: 215.7, end_time: 215.9 
Word: o, start_time: 215.9, end_time: 215.9 
Word: governo, start_time: 215.9, end_time: 216.4 
Word: gasta, start_time: 216.4, end_time: 216.8 
Word: alguma, start_time: 216.8, end_time: 216.9 
Word: coisa, start_time: 216.9, end_time: 217.4 
Word: porque, start_time: 217.4, end_time: 217.8 
Word: até, start_time: 217.8, end_time: 218.2 
Word: que, start_time: 218.2, end_time: 218.4 
Word: momento, start_time: 218.4, end_time: 218.5 
Word: se, start_time: 218.5, end_time: 218.9 
Word: cobrar, start_time: 218.9, end_time: 219.1 
Word: do, start_time: 219.1, end_time: 219.3 
Word: governo, start_time: 219.3, end_time: 219.5 
Word: inclusive, start_time: 219.5, end_time: 224.9 
Word: fazendo, start_time: 224.9, end_time: 226.1 
Word: uma, start_time: 226.1, end_time: 226.4 
Word: nova, start_time: 226.4, end_time: 226.7 
Word: uma, start_time: 226.7, end_time: 227.0 
Word: nova, start_time: 227.0, end_time: 227.1 
Word: negociação, start_time: 227.1, end_time: 228.5 
Word: com, start_time: 228.5, end_time: 229.4 
Word: o, start_time: 229.4, end_time: 229.4 
Word: fundo, start_time: 229.4, end_time: 229.7 
Word: monetário, start_time: 229.7, end_time: 229.8 
Word: não, start_time: 229.8, end_time: 231.0 
Word: se, start_time: 231.0, end_time: 231.2 
Word: cobrar, start_time: 231.2, end_time: 231.5 


Transcript: eu procurei os membros da nossa coordenação que se não for assinar o Carlos Nós pensamos que nós devemos tomar sol na mesa como na seleção FC real para ganhar a questão Econômica estava se transformando na principal questão de momento ele chamou os candidato a presidente para discutir o acordo já estaria falando com aquele e-mail pedindo uma volta foi um pouco antes 
confidence: 0.938062846660614 

Word: eu, start_time: 239.2, end_time: 239.6 
Word: procurei, start_time: 239.6, end_time: 241.0 
Word: os, start_time: 241.0, end_time: 241.3 
Word: membros, start_time: 241.3, end_time: 241.7 
Word: da, start_time: 241.7, end_time: 241.8 
Word: nossa, start_time: 241.8, end_time: 241.9 
Word: coordenação, start_time: 241.9, end_time: 242.6 
Word: que, start_time: 242.6, end_time: 242.9 
Word: se, start_time: 242.9, end_time: 243.0 
Word: não, start_time: 243.0, end_time: 243.2 
Word: for, start_time: 243.2, end_time: 243.5 
Word: assinar, start_time: 243.5, end_time: 243.9 
Word: o, start_time: 243.9, end_time: 244.0 
Word: Carlos, start_time: 244.0, end_time: 244.4 
Word: Nós, start_time: 244.4, end_time: 244.5 
Word: pensamos, start_time: 244.5, end_time: 244.9 
Word: que, start_time: 244.9, end_time: 245.0 
Word: nós, start_time: 245.0, end_time: 245.3 
Word: devemos, start_time: 245.3, end_time: 245.8 
Word: tomar, start_time: 245.8, end_time: 247.7 
Word: sol, start_time: 247.7, end_time: 248.1 
Word: na, start_time: 248.1, end_time: 248.2 
Word: mesa, start_time: 248.2, end_time: 248.5 
Word: como, start_time: 248.5, end_time: 251.3 
Word: na, start_time: 251.3, end_time: 251.4 
Word: seleção, start_time: 251.4, end_time: 252.2 
Word: FC, start_time: 252.2, end_time: 252.8 
Word: real, start_time: 252.8, end_time: 255.0 
Word: para, start_time: 255.0, end_time: 257.1 
Word: ganhar, start_time: 257.1, end_time: 257.6 
Word: a, start_time: 257.6, end_time: 257.7 
Word: questão, start_time: 257.7, end_time: 264.4 
Word: Econômica, start_time: 264.4, end_time: 264.6 
Word: estava, start_time: 264.6, end_time: 265.3 
Word: se, start_time: 265.3, end_time: 265.4 
Word: transformando, start_time: 265.4, end_time: 265.5 
Word: na, start_time: 265.5, end_time: 266.1 
Word: principal, start_time: 266.1, end_time: 266.6 
Word: questão, start_time: 266.6, end_time: 266.8 
Word: de, start_time: 266.8, end_time: 267.4 
Word: momento, start_time: 267.4, end_time: 267.7 
Word: ele, start_time: 267.7, end_time: 275.8 
Word: chamou, start_time: 275.8, end_time: 278.4 
Word: os, start_time: 278.4, end_time: 278.9 
Word: candidato, start_time: 278.9, end_time: 279.4 
Word: a, start_time: 279.4, end_time: 279.4 
Word: presidente, start_time: 279.4, end_time: 280.1 
Word: para, start_time: 280.1, end_time: 280.3 
Word: discutir, start_time: 280.3, end_time: 280.7 
Word: o, start_time: 280.7, end_time: 280.7 
Word: acordo, start_time: 280.7, end_time: 281.1 
Word: já, start_time: 281.1, end_time: 281.2 
Word: estaria, start_time: 281.2, end_time: 281.5 
Word: falando, start_time: 281.5, end_time: 281.7 
Word: com, start_time: 281.7, end_time: 282.0 
Word: aquele, start_time: 282.0, end_time: 282.2 
Word: e-mail, start_time: 282.2, end_time: 282.5 
Word: pedindo, start_time: 282.5, end_time: 283.1 
Word: uma, start_time: 283.1, end_time: 283.3 
Word: volta, start_time: 283.3, end_time: 283.9 
Word: foi, start_time: 283.9, end_time: 284.8 
Word: um, start_time: 284.8, end_time: 284.8 
Word: pouco, start_time: 284.8, end_time: 285.1 
Word: antes, start_time: 285.1, end_time: 285.2 


Transcript: Só essa vez que o nosso o nosso meio Mas voltando quando eu chego aí então ela apareceu como uma percepção não só o governo na medida em que se você tem foto do seu governo de alguns meses eu paro do mercado pessoalmente é essencial Santa um compromisso Aí nós ficamos duas sobre o que que tipo de compromisso fazer uma das ideias defendidas pelos e Mercadante seria anunciar que nós faríamos a autonomia do Banco Central belluzzo também chegou a falar e você resolveu ele chegou a sugerir estão então ele dá força no Ceará 
confidence: 0.9106999635696411 

Word: Só, start_time: 299.1, end_time: 299.6 
Word: essa, start_time: 299.6, end_time: 299.9 
Word: vez, start_time: 299.9, end_time: 300.0 
Word: que, start_time: 300.0, end_time: 300.4 
Word: o, start_time: 300.4, end_time: 300.5 
Word: nosso, start_time: 300.5, end_time: 301.1 
Word: o, start_time: 301.1, end_time: 301.2 
Word: nosso, start_time: 301.2, end_time: 301.2 
Word: meio, start_time: 301.2, end_time: 302.0 
Word: Mas, start_time: 302.0, end_time: 302.1 
Word: voltando, start_time: 302.1, end_time: 302.6 
Word: quando, start_time: 302.6, end_time: 302.8 
Word: eu, start_time: 302.8, end_time: 303.0 
Word: chego, start_time: 303.0, end_time: 303.2 
Word: aí, start_time: 303.2, end_time: 303.4 
Word: então, start_time: 303.4, end_time: 304.7 
Word: ela, start_time: 304.7, end_time: 304.9 
Word: apareceu, start_time: 304.9, end_time: 305.4 
Word: como, start_time: 305.4, end_time: 305.6 
Word: uma, start_time: 305.6, end_time: 305.7 
Word: percepção, start_time: 305.7, end_time: 306.7 
Word: não, start_time: 306.7, end_time: 307.1 
Word: só, start_time: 307.1, end_time: 311.7 
Word: o, start_time: 311.7, end_time: 311.8 
Word: governo, start_time: 311.8, end_time: 312.1 
Word: na, start_time: 312.1, end_time: 314.5 
Word: medida, start_time: 314.5, end_time: 314.9 
Word: em, start_time: 314.9, end_time: 315.0 
Word: que, start_time: 315.0, end_time: 315.1 
Word: se, start_time: 315.1, end_time: 315.9 
Word: você, start_time: 315.9, end_time: 316.3 
Word: tem, start_time: 316.3, end_time: 316.6 
Word: foto, start_time: 316.6, end_time: 316.9 
Word: do, start_time: 316.9, end_time: 317.2 
Word: seu, start_time: 317.2, end_time: 317.3 
Word: governo, start_time: 317.3, end_time: 317.7 
Word: de, start_time: 317.7, end_time: 318.1 
Word: alguns, start_time: 318.1, end_time: 318.4 
Word: meses, start_time: 318.4, end_time: 318.9 
Word: eu, start_time: 318.9, end_time: 320.6 
Word: paro, start_time: 320.6, end_time: 320.9 
Word: do, start_time: 320.9, end_time: 321.0 
Word: mercado, start_time: 321.0, end_time: 321.5 
Word: pessoalmente, start_time: 321.5, end_time: 322.2 
Word: é, start_time: 322.2, end_time: 322.2 
Word: essencial, start_time: 322.2, end_time: 322.7 
Word: Santa, start_time: 322.7, end_time: 323.0 
Word: um, start_time: 323.0, end_time: 323.4 
Word: compromisso, start_time: 323.4, end_time: 324.1 
Word: Aí, start_time: 324.1, end_time: 324.8 
Word: nós, start_time: 324.8, end_time: 325.0 
Word: ficamos, start_time: 325.0, end_time: 325.1 
Word: duas, start_time: 325.1, end_time: 325.7 
Word: sobre, start_time: 325.7, end_time: 325.9 
Word: o, start_time: 325.9, end_time: 326.0 
Word: que, start_time: 326.0, end_time: 326.4 
Word: que, start_time: 326.4, end_time: 327.0 
Word: tipo, start_time: 327.0, end_time: 327.9 
Word: de, start_time: 327.9, end_time: 328.0 
Word: compromisso, start_time: 328.0, end_time: 328.4 
Word: fazer, start_time: 328.4, end_time: 328.8 
Word: uma, start_time: 328.8, end_time: 329.7 
Word: das, start_time: 329.7, end_time: 329.9 
Word: ideias, start_time: 329.9, end_time: 330.5 
Word: defendidas, start_time: 330.5, end_time: 331.2 
Word: pelos, start_time: 331.2, end_time: 331.9 
Word: e, start_time: 331.9, end_time: 332.1 
Word: Mercadante, start_time: 332.1, end_time: 332.6 
Word: seria, start_time: 332.6, end_time: 333.9 
Word: anunciar, start_time: 333.9, end_time: 335.0 
Word: que, start_time: 335.0, end_time: 335.1 
Word: nós, start_time: 335.1, end_time: 335.4 
Word: faríamos, start_time: 335.4, end_time: 336.1 
Word: a, start_time: 336.1, end_time: 336.7 
Word: autonomia, start_time: 336.7, end_time: 337.4 
Word: do, start_time: 337.4, end_time: 337.4 
