Transcript: estamos gravando diretamente da residência do Presidente Juscelino Kubitschek para uma entrevista versando sobre o tema estabilidade política durante o governo Juscelino Kubitschek teve especificamente um problema político e teórico 
confidence: 0.9021123647689819 

Word: estamos, start_time: 0.0, end_time: 1.1 
Word: algum, start_time: 31.4, end_time: 31.6 
Word: tempo, start_time: 31.6, end_time: 31.7 
Word: que, start_time: 31.7, end_time: 32.2 
Word: é, start_time: 32.2, end_time: 32.3 
Word: problema, start_time: 32.3, end_time: 32.8 
Word: da, start_time: 32.8, end_time: 33.7 
Word: estabilidade, start_time: 33.7, end_time: 34.5 
Word: política, start_time: 34.5, end_time: 35.2 
Word: Ou, start_time: 35.2, end_time: 35.3 
Word: seja, start_time: 35.3, end_time: 35.5 
Word: a, start_time: 35.5, end_time: 35.7 
Word: manutenção, start_time: 35.7, end_time: 36.4 
Word: de, start_time: 36.4, end_time: 36.6 
Word: um, start_time: 36.6, end_time: 36.7 
Word: determinado, start_time: 36.7, end_time: 37.3 
Word: sistema, start_time: 37.3, end_time: 37.4 
Word: político, start_time: 37.4, end_time: 38.3 
Word: por, start_time: 38.3, end_time: 39.2 
Word: um, start_time: 39.2, end_time: 39.3 
Word: tempo, start_time: 39.3, end_time: 39.7 
Word: determinado, start_time: 39.7, end_time: 40.0 
Word: a, start_time: 40.0, end_time: 41.3 
Word: manutenção, start_time: 41.3, end_time: 41.8 
Word: do, start_time: 41.8, end_time: 41.8 
Word: regime, start_time: 41.8, end_time: 42.1 
Word: vigente, start_time: 42.1, end_time: 42.4 
Word: do, start_time: 42.4, end_time: 42.9 
Word: regime, start_time: 42.9, end_time: 43.3 
Word: de, start_time: 43.3, end_time: 43.4 
Word: participação, start_time: 43.4, end_time: 43.7 
Word: da, start_time: 43.7, end_time: 45.0 
Word: vida, start_time: 45.0, end_time: 46.0 
Word: o, start_time: 46.0, end_time: 46.0 
Word: que, start_time: 46.0, end_time: 46.2 
Word: é, start_time: 46.2, end_time: 46.2 
Word: um, start_time: 46.2, end_time: 46.3 
Word: regime, start_time: 46.3, end_time: 46.7 
Word: democrático, start_time: 46.7, end_time: 46.8 
Word: a, start_time: 46.8, end_time: 47.5 
Word: manutenção, start_time: 47.5, end_time: 48.1 
Word: do, start_time: 48.1, end_time: 48.2 
Word: regime, start_time: 48.2, end_time: 48.4 
Word: democrático, start_time: 48.4, end_time: 49.0 
Transcript:  e para e sempre ficar ou seja estudar esse poema teórica o nível de um problema subjetivo eu escolhi o seu governo 
confidence: 0.8148123621940613 

Word: e, start_time: 50.1, end_time: 50.1 
Word: para, start_time: 50.1, end_time: 51.2 
Word: e, start_time: 51.2, end_time: 51.3 
Word: sempre, start_time: 51.3, end_time: 52.4 
Word: ficar, start_time: 52.4, end_time: 52.7 
Word: ou, start_time: 52.7, end_time: 53.5 
Word: seja, start_time: 53.5, end_time: 53.8 
Word: estudar, start_time: 53.8, end_time: 54.1 
Word: esse, start_time: 54.1, end_time: 54.3 
Word: poema, start_time: 54.3, end_time: 54.4 
Word: teórica, start_time: 54.4, end_time: 55.0 
Word: o, start_time: 55.0, end_time: 55.0 
Word: nível, start_time: 55.0, end_time: 55.5 
Word: de, start_time: 55.5, end_time: 55.6 
Word: um, start_time: 55.6, end_time: 55.7 
Word: problema, start_time: 55.7, end_time: 56.1 
Word: subjetivo, start_time: 56.1, end_time: 57.0 
Word: eu, start_time: 57.0, end_time: 57.5 
Word: escolhi, start_time: 57.5, end_time: 57.9 
Word: o, start_time: 57.9, end_time: 57.9 
Word: seu, start_time: 57.9, end_time: 58.1 
Word: governo, start_time: 58.1, end_time: 58.3 
Transcript:  e o segundo é dado como um caso atípico no Panorama político nacional e a partir de 900930 é considerado um Panorama político de estabilidade política crônica do Flamengo no Pacaembu hoje pela manhã o senhor foi o presidente civil e se Manteve do começo ao fim de semana passando de acordo com as normas constitucionais à presidência seus pessoas legais então o governo aparece como um caso atípico atipicidade de instabilidade crônica 
confidence: 0.9340609908103943 

Word: e, start_time: 59.7, end_time: 59.8 
Word: o, start_time: 59.8, end_time: 60.4 
Word: segundo, start_time: 60.4, end_time: 61.5 
Word: é, start_time: 61.5, end_time: 61.9 
Word: dado, start_time: 61.9, end_time: 62.3 
Word: como, start_time: 62.3, end_time: 62.6 
Word: um, start_time: 62.6, end_time: 62.7 
Word: caso, start_time: 62.7, end_time: 63.1 
Word: atípico, start_time: 63.1, end_time: 63.2 
Word: no, start_time: 63.2, end_time: 63.9 
Word: Panorama, start_time: 63.9, end_time: 64.4 
Word: político, start_time: 64.4, end_time: 64.9 
Word: nacional, start_time: 64.9, end_time: 65.5 
Word: e, start_time: 65.5, end_time: 65.7 
Word: a, start_time: 65.7, end_time: 66.5 
Word: partir, start_time: 66.5, end_time: 66.9 
Word: de, start_time: 66.9, end_time: 67.0 
Word: 900930, start_time: 67.0, end_time: 68.4 
Word: é, start_time: 68.4, end_time: 68.4 
Word: considerado, start_time: 68.4, end_time: 69.1 
Word: um, start_time: 69.1, end_time: 69.2 
Word: Panorama, start_time: 69.2, end_time: 70.0 
Word: político, start_time: 70.0, end_time: 70.5 
Word: de, start_time: 70.5, end_time: 70.7 
Word: estabilidade, start_time: 70.7, end_time: 71.4 
Word: política, start_time: 71.4, end_time: 71.8 
Word: crônica, start_time: 71.8, end_time: 72.3 
Word: do, start_time: 72.3, end_time: 73.3 
Word: Flamengo, start_time: 73.3, end_time: 73.9 
Word: no, start_time: 73.9, end_time: 75.2 
Word: Pacaembu, start_time: 75.2, end_time: 75.4 
Word: hoje, start_time: 75.4, end_time: 75.8 
Word: pela, start_time: 75.8, end_time: 76.1 
Word: manhã, start_time: 76.1, end_time: 76.3 
Word: o, start_time: 76.3, end_time: 77.4 
Word: senhor, start_time: 77.4, end_time: 77.7 
Word: foi, start_time: 77.7, end_time: 78.2 
Word: o, start_time: 78.2, end_time: 78.3 
Word: presidente, start_time: 78.3, end_time: 78.5 
Word: civil, start_time: 78.5, end_time: 79.6 
Word: e, start_time: 79.6, end_time: 80.6 
Word: se, start_time: 80.6, end_time: 80.8 
Word: Manteve, start_time: 80.8, end_time: 81.5 
Word: do, start_time: 81.5, end_time: 81.8 
Word: começo, start_time: 81.8, end_time: 82.2 
Word: ao, start_time: 82.2, end_time: 82.3 
Word: fim, start_time: 82.3, end_time: 82.5 
Word: de, start_time: 82.5, end_time: 82.6 
Word: semana, start_time: 82.6, end_time: 82.8 
Word: passando, start_time: 82.8, end_time: 83.6 
Word: de, start_time: 83.6, end_time: 84.5 
Word: acordo, start_time: 84.5, end_time: 84.9 
Word: com, start_time: 84.9, end_time: 85.0 
Word: as, start_time: 85.0, end_time: 85.3 
Word: normas, start_time: 85.3, end_time: 85.9 
Word: constitucionais, start_time: 85.9, end_time: 86.2 
Word: à, start_time: 86.2, end_time: 87.5 
Word: presidência, start_time: 87.5, end_time: 88.7 
Word: seus, start_time: 88.7, end_time: 88.9 
Word: pessoas, start_time: 88.9, end_time: 89.4 
Word: legais, start_time: 89.4, end_time: 91.8 
Word: então, start_time: 91.8, end_time: 93.4 
Word: o, start_time: 93.4, end_time: 93.5 
Word: governo, start_time: 93.5, end_time: 94.0 
Word: aparece, start_time: 94.0, end_time: 94.6 
Word: como, start_time: 94.6, end_time: 94.8 
Word: um, start_time: 94.8, end_time: 94.8 
Word: caso, start_time: 94.8, end_time: 95.2 
Word: atípico, start_time: 95.2, end_time: 95.3 
Word: atipicidade, start_time: 95.3, end_time: 97.9 
Word: de, start_time: 97.9, end_time: 98.2 
Word: instabilidade, start_time: 98.2, end_time: 99.1 
Word: crônica, start_time: 99.1, end_time: 99.6 
Transcript:  no entanto era de se imaginar o contrário porque o seu governo começou justamente no período que se imaginaria o bastante estabilidade foi necessário encontrar golpe preventivo as forças armadas para garantir a sua classe o que você disse enfrentar algumas crises entre os militares no começo no quinto período 
confidence: 0.9053043127059937 

Word: no, start_time: 100.4, end_time: 100.8 
Word: entanto, start_time: 100.8, end_time: 101.2 
Word: era, start_time: 101.2, end_time: 102.0 
Word: de, start_time: 102.0, end_time: 102.2 
Word: se, start_time: 102.2, end_time: 102.4 
Word: imaginar, start_time: 102.4, end_time: 102.4 
Word: o, start_time: 102.4, end_time: 103.0 
Word: contrário, start_time: 103.0, end_time: 103.6 
Word: porque, start_time: 103.6, end_time: 103.8 
Word: o, start_time: 103.8, end_time: 103.9 
Word: seu, start_time: 103.9, end_time: 104.1 
Word: governo, start_time: 104.1, end_time: 104.4 
Word: começou, start_time: 104.4, end_time: 104.7 
Word: justamente, start_time: 104.7, end_time: 106.5 
Word: no, start_time: 106.5, end_time: 107.0 
Word: período, start_time: 107.0, end_time: 107.1 
Word: que, start_time: 107.1, end_time: 107.7 
Word: se, start_time: 107.7, end_time: 107.8 
Word: imaginaria, start_time: 107.8, end_time: 108.3 
Word: o, start_time: 108.3, end_time: 108.6 
Word: bastante, start_time: 108.6, end_time: 110.4 
Word: estabilidade, start_time: 110.4, end_time: 111.3 
Word: foi, start_time: 111.3, end_time: 112.9 
Word: necessário, start_time: 112.9, end_time: 113.5 
Word: encontrar, start_time: 113.5, end_time: 114.7 
Word: golpe, start_time: 114.7, end_time: 115.2 
Word: preventivo, start_time: 115.2, end_time: 115.5 
Word: as, start_time: 115.5, end_time: 115.9 
Word: forças, start_time: 115.9, end_time: 116.2 
Word: armadas, start_time: 116.2, end_time: 116.5 
Word: para, start_time: 116.5, end_time: 116.7 
Word: garantir, start_time: 116.7, end_time: 117.1 
Word: a, start_time: 117.1, end_time: 117.2 
Word: sua, start_time: 117.2, end_time: 117.3 
Word: classe, start_time: 117.3, end_time: 117.9 
Word: o, start_time: 117.9, end_time: 117.9 
Word: que, start_time: 117.9, end_time: 119.5 
Word: você, start_time: 119.5, end_time: 119.7 
Word: disse, start_time: 119.7, end_time: 119.9 
Word: enfrentar, start_time: 119.9, end_time: 120.3 
Word: algumas, start_time: 120.3, end_time: 120.6 
Word: crises, start_time: 120.6, end_time: 121.0 
Word: entre, start_time: 121.0, end_time: 121.5 
Word: os, start_time: 121.5, end_time: 121.7 
Word: militares, start_time: 121.7, end_time: 121.9 
Word: no, start_time: 121.9, end_time: 122.6 
Word: começo, start_time: 122.6, end_time: 123.0 
Word: no, start_time: 123.0, end_time: 123.1 
Word: quinto, start_time: 123.1, end_time: 123.5 
Word: período, start_time: 123.5, end_time: 123.9 
Transcript:  uma série de problemas implica com Mônica em política Internacional Os levaria a crer que esse governo não chegaria ao fim como chegou pela constituição uma antena democracia a liberdade liberdade imprensa oficial a primeira pergunta gostaria de fazer então é o que sustenta sua candidatura em condições adversas Ou seja a palavra conjuntura política de intensa estabilidade após o susto do Presidente Vargas a dissidência interno PSB e o vento militar contra todo e qualquer candidatura que não fosse uma candidatura de União Nacional quero que você me explicasse inicialmente 
confidence: 0.9130489230155945 

Word: uma, start_time: 125.2, end_time: 127.3 
Word: série, start_time: 127.3, end_time: 127.7 
Word: de, start_time: 127.7, end_time: 127.7 
Word: problemas, start_time: 127.7, end_time: 128.0 
Word: implica, start_time: 128.0, end_time: 128.9 
Word: com, start_time: 128.9, end_time: 129.4 
Word: Mônica, start_time: 129.4, end_time: 129.8 
Word: em, start_time: 129.8, end_time: 129.9 
Word: política, start_time: 129.9, end_time: 130.3 
Word: Internacional, start_time: 130.3, end_time: 130.3 
Word: Os, start_time: 130.3, end_time: 131.4 
Word: levaria, start_time: 131.4, end_time: 131.7 
Word: a, start_time: 131.7, end_time: 131.8 
Word: crer, start_time: 131.8, end_time: 132.0 
Word: que, start_time: 132.0, end_time: 132.2 
Word: esse, start_time: 132.2, end_time: 133.2 
Word: governo, start_time: 133.2, end_time: 133.4 
Word: não, start_time: 133.4, end_time: 133.7 
Word: chegaria, start_time: 133.7, end_time: 134.1 
Word: ao, start_time: 134.1, end_time: 134.2 
Word: fim, start_time: 134.2, end_time: 134.2 
Word: como, start_time: 134.2, end_time: 135.1 
Word: chegou, start_time: 135.1, end_time: 135.6 
Word: pela, start_time: 135.6, end_time: 137.7 
Word: constituição, start_time: 137.7, end_time: 138.1 
Word: uma, start_time: 138.1, end_time: 138.6 
Word: antena, start_time: 138.6, end_time: 139.1 
Word: democracia, start_time: 139.1, end_time: 139.8 
Word: a, start_time: 139.8, end_time: 139.9 
Word: liberdade, start_time: 139.9, end_time: 140.1 
Word: liberdade, start_time: 140.1, end_time: 140.7 
Word: imprensa, start_time: 140.7, end_time: 141.3 
Word: oficial, start_time: 141.3, end_time: 141.8 
Word: a, start_time: 141.8, end_time: 142.7 
Word: primeira, start_time: 142.7, end_time: 143.1 
Word: pergunta, start_time: 143.1, end_time: 143.3 
Word: gostaria, start_time: 143.3, end_time: 143.7 
Word: de, start_time: 143.7, end_time: 143.9 
Word: fazer, start_time: 143.9, end_time: 144.2 
Word: então, start_time: 144.2, end_time: 144.4 
Word: é, start_time: 144.4, end_time: 144.6 
Word: o, start_time: 144.6, end_time: 144.8 
Word: que, start_time: 144.8, end_time: 145.1 
Word: sustenta, start_time: 145.1, end_time: 146.6 
Word: sua, start_time: 146.6, end_time: 146.7 
Word: candidatura, start_time: 146.7, end_time: 147.6 
Word: em, start_time: 147.6, end_time: 148.3 
Word: condições, start_time: 148.3, end_time: 148.9 
Word: adversas, start_time: 148.9, end_time: 149.3 
Word: Ou, start_time: 149.3, end_time: 151.2 
Word: seja, start_time: 151.2, end_time: 151.6 
Word: a, start_time: 151.6, end_time: 151.7 
Word: palavra, start_time: 151.7, end_time: 152.5 
Word: conjuntura, start_time: 152.5, end_time: 152.8 
Word: política, start_time: 152.8, end_time: 153.5 
Word: de, start_time: 153.5, end_time: 153.6 
Word: intensa, start_time: 153.6, end_time: 154.2 
Word: estabilidade, start_time: 154.2, end_time: 154.4 
Word: após, start_time: 154.4, end_time: 155.1 
Word: o, start_time: 155.1, end_time: 155.3 
Word: susto, start_time: 155.3, end_time: 155.5 
Word: do, start_time: 155.5, end_time: 155.7 
Word: Presidente, start_time: 155.7, end_time: 156.1 
Word: Vargas, start_time: 156.1, end_time: 156.3 
Word: a, start_time: 156.3, end_time: 157.4 
Word: dissidência, start_time: 157.4, end_time: 157.9 
Word: interno, start_time: 157.9, end_time: 158.5 
Word: PSB, start_time: 158.5, end_time: 158.9 
Word: e, start_time: 158.9, end_time: 159.0 
Word: o, start_time: 159.0, end_time: 159.9 
Word: vento, start_time: 159.9, end_time: 160.2 
Word: militar, start_time: 160.2, end_time: 160.6 
Word: contra, start_time: 160.6, end_time: 161.7 
Word: todo, start_time: 161.7, end_time: 162.0 
Word: e, start_time: 162.0, end_time: 162.0 
Word: qualquer, start_time: 162.0, end_time: 162.1 
Word: candidatura, start_time: 162.1, end_time: 163.1 
Word: que, start_time: 163.1, end_time: 163.2 
Word: não, start_time: 163.2, end_time: 163.3 
Word: fosse, start_time: 163.3, end_time: 163.5 
Word: uma, start_time: 163.5, end_time: 163.6 
Word: candidatura, start_time: 163.6, end_time: 164.1 
Word: de, start_time: 164.1, end_time: 164.2 
Word: União, start_time: 164.2, end_time: 164.5 
Word: Nacional, start_time: 164.5, end_time: 164.9 
Word: quero, start_time: 164.9, end_time: 166.0 
Word: que, start_time: 166.0, end_time: 166.1 
Word: você, start_time: 166.1, end_time: 166.2 
Word: me, start_time: 166.2, end_time: 166.2 
Word: explicasse, start_time: 166.2, end_time: 166.6 
Word: inicialmente, start_time: 166.6, end_time: 167.5 
Transcript:  o poema que a senhora está retratando É muito interessante eu sou procurado constantemente aqui na minha casa no meu escritório um grupo de estudantes estrangeiros que vivem para conversar sobre o movimento de uma maneira geral a importância das perguntas e ao assunto é sobre Vista administrativo 
confidence: 0.9225016832351685 

Word: o, start_time: 170.7, end_time: 170.8 
Word: poema, start_time: 170.8, end_time: 171.4 
Word: que, start_time: 171.4, end_time: 172.4 
Word: a, start_time: 172.4, end_time: 172.4 
Word: senhora, start_time: 172.4, end_time: 172.7 
Word: está, start_time: 172.7, end_time: 173.0 
Word: retratando, start_time: 173.0, end_time: 173.5 
Word: É, start_time: 173.5, end_time: 174.3 
Word: muito, start_time: 174.3, end_time: 175.1 
Word: interessante, start_time: 175.1, end_time: 175.8 
Word: eu, start_time: 175.8, end_time: 176.9 
Word: sou, start_time: 176.9, end_time: 177.2 
Word: procurado, start_time: 177.2, end_time: 177.6 
Word: constantemente, start_time: 177.6, end_time: 179.2 
Word: aqui, start_time: 179.2, end_time: 180.0 
Word: na, start_time: 180.0, end_time: 180.1 
Word: minha, start_time: 180.1, end_time: 180.2 
Word: casa, start_time: 180.2, end_time: 180.6 
Word: no, start_time: 180.6, end_time: 180.9 
Word: meu, start_time: 180.9, end_time: 181.0 
Word: escritório, start_time: 181.0, end_time: 181.5 
Word: um, start_time: 181.5, end_time: 182.5 
Word: grupo, start_time: 182.5, end_time: 183.1 
Word: de, start_time: 183.1, end_time: 183.6 
Word: estudantes, start_time: 183.6, end_time: 184.6 
Word: estrangeiros, start_time: 184.6, end_time: 185.8 
Word: que, start_time: 185.8, end_time: 187.4 
Word: vivem, start_time: 187.4, end_time: 187.8 
Word: para, start_time: 187.8, end_time: 188.9 
Word: conversar, start_time: 188.9, end_time: 189.5 
Word: sobre, start_time: 189.5, end_time: 189.8 
Word: o, start_time: 189.8, end_time: 190.0 
Word: movimento, start_time: 190.0, end_time: 190.5 
Word: de, start_time: 190.5, end_time: 191.6 
Word: uma, start_time: 191.6, end_time: 191.6 
Word: maneira, start_time: 191.6, end_time: 191.9 
Word: geral, start_time: 191.9, end_time: 192.1 
Word: a, start_time: 192.1, end_time: 193.1 
Word: importância, start_time: 193.1, end_time: 194.5 
Word: das, start_time: 194.5, end_time: 195.5 
Word: perguntas, start_time: 195.5, end_time: 195.8 
Word: e, start_time: 195.8, end_time: 196.6 
Word: ao, start_time: 196.6, end_time: 197.0 
Word: assunto, start_time: 197.0, end_time: 197.2 
Word: é, start_time: 197.2, end_time: 197.9 
Word: sobre, start_time: 197.9, end_time: 198.4 
Word: Vista, start_time: 198.4, end_time: 199.1 
Word: administrativo, start_time: 199.1, end_time: 200.1 
Transcript:  me parece que é a primeira vez que eu recebo uma jovem estudante que vem focalizar exclusivamente um dos temas que o consideram da maior importância e que deve ter sido para mim 
confidence: 0.9092370867729187 

Word: me, start_time: 201.4, end_time: 201.8 
Word: parece, start_time: 201.8, end_time: 202.1 
Word: que, start_time: 202.1, end_time: 202.4 
Word: é, start_time: 202.4, end_time: 203.1 
Word: a, start_time: 203.1, end_time: 203.2 
Word: primeira, start_time: 203.2, end_time: 203.5 
Word: vez, start_time: 203.5, end_time: 203.9 
Word: que, start_time: 203.9, end_time: 204.2 
Word: eu, start_time: 204.2, end_time: 204.2 
Word: recebo, start_time: 204.2, end_time: 204.8 
Word: uma, start_time: 204.8, end_time: 205.8 
Word: jovem, start_time: 205.8, end_time: 206.3 
Word: estudante, start_time: 206.3, end_time: 206.6 
Word: que, start_time: 206.6, end_time: 207.9 
Word: vem, start_time: 207.9, end_time: 208.1 
Word: focalizar, start_time: 208.1, end_time: 208.9 
Word: exclusivamente, start_time: 208.9, end_time: 210.8 
Word: um, start_time: 210.8, end_time: 211.5 
Word: dos, start_time: 211.5, end_time: 211.7 
Word: temas, start_time: 211.7, end_time: 212.0 
Word: que, start_time: 212.0, end_time: 212.4 
Word: o, start_time: 212.4, end_time: 212.5 
Word: consideram, start_time: 212.5, end_time: 213.1 
Word: da, start_time: 213.1, end_time: 213.3 
Word: maior, start_time: 213.3, end_time: 213.6 
Word: importância, start_time: 213.6, end_time: 213.7 
Word: e, start_time: 213.7, end_time: 214.5 
Word: que, start_time: 214.5, end_time: 215.5 
Word: deve, start_time: 215.5, end_time: 216.4 
Word: ter, start_time: 216.4, end_time: 216.7 
Word: sido, start_time: 216.7, end_time: 217.0 
Word: para, start_time: 217.0, end_time: 217.5 
Word: mim, start_time: 217.5, end_time: 217.7 
Transcript:  perdoe-me a insistência a glória do Aventureiro manter o regime democrático Magneto apesar de todos os esforços todas as tentativas de derrubar as instituições e o regime eu pude Marcelo e como a senhora tá mole viver em 40 anos de vida republicana o povo governo civil que começou e terminou no dia marcado pela constituição 
confidence: 0.9190677404403687 

Word: perdoe-me, start_time: 219.0, end_time: 219.9 
Word: a, start_time: 219.9, end_time: 220.1 
Word: insistência, start_time: 220.1, end_time: 220.2 
Word: a, start_time: 220.2, end_time: 221.1 
Word: glória, start_time: 221.1, end_time: 221.6 
Word: do, start_time: 221.6, end_time: 221.7 
Word: Aventureiro, start_time: 221.7, end_time: 221.8 
Word: manter, start_time: 221.8, end_time: 223.3 
Word: o, start_time: 223.3, end_time: 223.4 
Word: regime, start_time: 223.4, end_time: 224.0 
Word: democrático, start_time: 224.0, end_time: 224.1 
Word: Magneto, start_time: 224.1, end_time: 226.3 
Word: apesar, start_time: 226.3, end_time: 227.3 
Word: de, start_time: 227.3, end_time: 227.4 
Word: todos, start_time: 227.4, end_time: 227.9 
Word: os, start_time: 227.9, end_time: 227.9 
Word: esforços, start_time: 227.9, end_time: 228.1 
Word: todas, start_time: 228.1, end_time: 229.8 
Word: as, start_time: 229.8, end_time: 230.1 
Word: tentativas, start_time: 230.1, end_time: 230.6 
Word: de, start_time: 230.6, end_time: 231.2 
Word: derrubar, start_time: 231.2, end_time: 232.1 
Word: as, start_time: 232.1, end_time: 233.4 
Word: instituições, start_time: 233.4, end_time: 234.5 
Word: e, start_time: 234.5, end_time: 234.9 
Word: o, start_time: 234.9, end_time: 235.0 
Word: regime, start_time: 235.0, end_time: 235.5 
Word: eu, start_time: 235.5, end_time: 235.8 
Word: pude, start_time: 235.8, end_time: 236.2 
Word: Marcelo, start_time: 236.2, end_time: 236.8 
Word: e, start_time: 236.8, end_time: 237.5 
Word: como, start_time: 237.5, end_time: 237.9 
Word: a, start_time: 237.9, end_time: 238.0 
Word: senhora, start_time: 238.0, end_time: 238.4 
Word: tá, start_time: 238.4, end_time: 238.6 
Word: mole, start_time: 238.6, end_time: 238.9 
Word: viver, start_time: 238.9, end_time: 239.1 
Word: em, start_time: 239.1, end_time: 239.9 
Word: 40, start_time: 239.9, end_time: 240.6 
Word: anos, start_time: 240.6, end_time: 240.7 
Word: de, start_time: 240.7, end_time: 241.0 
Word: vida, start_time: 241.0, end_time: 241.1 
Word: republicana, start_time: 241.1, end_time: 241.9 
Word: o, start_time: 241.9, end_time: 242.7 
Word: povo, start_time: 242.7, end_time: 243.4 
Word: governo, start_time: 243.4, end_time: 243.8 
Word: civil, start_time: 243.8, end_time: 244.1 
Word: que, start_time: 244.1, end_time: 244.7 
Word: começou, start_time: 244.7, end_time: 245.3 
Word: e, start_time: 245.3, end_time: 245.5 
Word: terminou, start_time: 245.5, end_time: 245.8 
Word: no, start_time: 245.8, end_time: 246.8 
Word: dia, start_time: 246.8, end_time: 246.8 
Word: marcado, start_time: 246.8, end_time: 247.5 
Word: pela, start_time: 247.5, end_time: 248.1 
Word: constituição, start_time: 248.1, end_time: 248.7 
Transcript:  Este é um dos títulos para mim de maior vermelha eu sinto sempre porque eu sei que isso representou para mim de vigilância de esforço continuado para não deixar PC perícia por depressão 
confidence: 0.8692202568054199 

Word: Este, start_time: 249.9, end_time: 250.6 
Word: é, start_time: 250.6, end_time: 250.7 
Word: um, start_time: 250.7, end_time: 250.8 
Word: dos, start_time: 250.8, end_time: 251.1 
Word: títulos, start_time: 251.1, end_time: 251.6 
Word: para, start_time: 251.6, end_time: 251.9 
Word: mim, start_time: 251.9, end_time: 252.1 
Word: de, start_time: 252.1, end_time: 252.6 
Word: maior, start_time: 252.6, end_time: 252.8 
Word: vermelha, start_time: 252.8, end_time: 253.4 
Word: eu, start_time: 253.4, end_time: 254.6 
Word: sinto, start_time: 254.6, end_time: 255.1 
Word: sempre, start_time: 255.1, end_time: 255.6 
Word: porque, start_time: 255.6, end_time: 256.6 
Word: eu, start_time: 256.6, end_time: 256.9 
Word: sei, start_time: 256.9, end_time: 257.2 
Word: que, start_time: 257.2, end_time: 257.4 
Word: isso, start_time: 257.4, end_time: 257.8 
Word: representou, start_time: 257.8, end_time: 258.5 
Word: para, start_time: 258.5, end_time: 258.6 
Word: mim, start_time: 258.6, end_time: 258.9 
Word: de, start_time: 258.9, end_time: 259.1 
Word: vigilância, start_time: 259.1, end_time: 259.9 
Word: de, start_time: 259.9, end_time: 261.0 
Word: esforço, start_time: 261.0, end_time: 262.0 
Word: continuado, start_time: 262.0, end_time: 262.6 
Word: para, start_time: 262.6, end_time: 263.4 
Word: não, start_time: 263.4, end_time: 263.8 
Word: deixar, start_time: 263.8, end_time: 264.1 
Word: PC, start_time: 264.1, end_time: 264.5 
Word: perícia, start_time: 264.5, end_time: 264.8 
Word: por, start_time: 264.8, end_time: 265.1 
Word: depressão, start_time: 265.1, end_time: 265.3 
Transcript:  estou falando já vai tá com vergonha taria de saber se refere a própria situação da candidatura à candidatura em condições tão instável predispunha a uma derrota E no entanto apesar de não ser por uma ampla margem o senhor venceu eu gostaria de saber o peso que teve digamos a aliança psd-ptb em que medida a aliança psd-ptb representando aplicativo para sua candidatura em condições tão desfigurado exatamente o sentido de promover o sentido político do meu governo não é sempre que remontavam pouquinho a fatos anteriores para se compreender 
confidence: 0.9196541905403137 

Word: estou, start_time: 269.5, end_time: 270.2 
Word: falando, start_time: 270.2, end_time: 273.5 
Word: já, start_time: 273.5, end_time: 273.9 
Word: vai, start_time: 273.9, end_time: 274.0 
Word: tá, start_time: 274.0, end_time: 274.4 
Word: com, start_time: 274.4, end_time: 274.6 
Word: vergonha, start_time: 274.6, end_time: 274.9 
Word: taria, start_time: 274.9, end_time: 279.1 
