Transcript: fichário da Capricho 
confidence: 0.5694495439529419 

Word: fichário, start_time: 0.0, end_time: 57.9 
Word: bairro, start_time: 142.4, end_time: 143.3 
Word: CD, start_time: 143.3, end_time: 143.6 
Word: novo, start_time: 143.6, end_time: 145.3 
Word: xand, start_time: 145.3, end_time: 145.8 
Word: ex-paquito, start_time: 145.8, end_time: 147.0 
Word: posologia, start_time: 147.0, end_time: 149.9 
Word: de, start_time: 149.9, end_time: 150.0 
Word: presente, start_time: 150.0, end_time: 150.4 
Word: para, start_time: 150.4, end_time: 150.8 
Word: projeto, start_time: 150.8, end_time: 151.3 
Word: Urbano, start_time: 151.3, end_time: 151.6 
Word: da, start_time: 151.6, end_time: 152.8 
Word: onda, start_time: 152.8, end_time: 153.5 
Transcript: Ricardo Hardman 118 CEP do Recanto Flor do Windows 7 Ultimate Modelo Sorocaba Deixa eu bagunçar quando me avisa quero esconder Tentei resolver problemas e resolvi trocar mensagem foi Tales of cycling and the Rain Song of Freedom Fighters the best program to say goodbye 
confidence: 0.8986925482749939 

Word: Ricardo, start_time: 155.0, end_time: 155.9 
Word: Hardman, start_time: 155.9, end_time: 156.4 
Word: 118, start_time: 156.4, end_time: 163.5 
Word: CEP, start_time: 163.5, end_time: 164.0 
Word: do, start_time: 164.0, end_time: 164.5 
Word: Recanto, start_time: 164.5, end_time: 165.3 
Word: Flor, start_time: 165.3, end_time: 165.6 
Word: do, start_time: 165.6, end_time: 165.7 
Word: Windows, start_time: 165.7, end_time: 166.9 
Word: 7, start_time: 166.9, end_time: 167.7 
Word: Ultimate, start_time: 167.7, end_time: 171.0 
Word: Modelo, start_time: 171.0, end_time: 171.4 
Word: Sorocaba, start_time: 171.4, end_time: 173.3 
Word: Deixa, start_time: 173.3, end_time: 173.9 
Word: eu, start_time: 173.9, end_time: 174.5 
Word: bagunçar, start_time: 174.5, end_time: 180.1 
Word: quando, start_time: 180.1, end_time: 180.4 
Word: me, start_time: 180.4, end_time: 181.4 
Word: avisa, start_time: 181.4, end_time: 181.7 
Word: quero, start_time: 181.7, end_time: 182.7 
Word: esconder, start_time: 182.7, end_time: 183.2 
Word: Tentei, start_time: 183.2, end_time: 184.5 
Word: resolver, start_time: 184.5, end_time: 186.4 
Word: problemas, start_time: 186.4, end_time: 187.8 
Word: e, start_time: 187.8, end_time: 187.8 
Word: resolvi, start_time: 187.8, end_time: 190.4 
Word: trocar, start_time: 190.4, end_time: 191.4 
Word: mensagem, start_time: 191.4, end_time: 191.8 
Word: foi, start_time: 191.8, end_time: 191.9 
Word: Tales, start_time: 191.9, end_time: 192.3 
Word: of, start_time: 192.3, end_time: 193.7 
Word: cycling, start_time: 193.7, end_time: 194.1 
Word: and, start_time: 194.1, end_time: 194.3 
Word: the, start_time: 194.3, end_time: 194.8 
Word: Rain, start_time: 194.8, end_time: 195.1 
Word: Song, start_time: 195.1, end_time: 195.5 
Word: of, start_time: 195.5, end_time: 195.6 
Word: Freedom, start_time: 195.6, end_time: 195.7 
Word: Fighters, start_time: 195.7, end_time: 199.8 
Word: the, start_time: 199.8, end_time: 200.7 
Word: best, start_time: 200.7, end_time: 201.2 
Word: program, start_time: 201.2, end_time: 201.7 
Word: to, start_time: 201.7, end_time: 201.9 
Word: say, start_time: 201.9, end_time: 205.5 
Word: goodbye, start_time: 205.5, end_time: 214.2 
Transcript: the americans end up Together and feel love of War 
confidence: 0.7838833332061768 

Word: the, start_time: 214.9, end_time: 215.2 
Word: americans, start_time: 215.2, end_time: 215.9 
Word: end, start_time: 215.9, end_time: 216.6 
Word: up, start_time: 216.6, end_time: 217.1 
Word: Together, start_time: 217.1, end_time: 218.0 
Word: and, start_time: 218.0, end_time: 220.0 
Word: feel, start_time: 220.0, end_time: 229.4 
Word: love, start_time: 229.4, end_time: 231.0 
Word: of, start_time: 231.0, end_time: 231.5 
Word: War, start_time: 231.5, end_time: 231.7 
Transcript:  Amorim Cavalcante endocrinologista amor igual Ok sobre os One Piece Going Merry potters Wheel fury of friends wallpaper wallpaper Transformers 
confidence: 0.8139764070510864 

Word: Amorim, start_time: 233.2, end_time: 234.3 
Word: Cavalcante, start_time: 234.3, end_time: 235.7 
Word: endocrinologista, start_time: 235.7, end_time: 236.5 
Word: amor, start_time: 236.5, end_time: 248.9 
Word: igual, start_time: 248.9, end_time: 249.2 
Word: Ok, start_time: 249.2, end_time: 250.3 
Word: sobre, start_time: 250.3, end_time: 251.4 
Word: os, start_time: 251.4, end_time: 251.4 
Word: One, start_time: 251.4, end_time: 252.0 
Word: Piece, start_time: 252.0, end_time: 253.2 
Word: Going, start_time: 253.2, end_time: 254.1 
Word: Merry, start_time: 254.1, end_time: 254.2 
Word: potters, start_time: 254.2, end_time: 254.7 
Word: Wheel, start_time: 254.7, end_time: 255.5 
Word: fury, start_time: 255.5, end_time: 258.1 
Word: of, start_time: 258.1, end_time: 258.4 
Word: friends, start_time: 258.4, end_time: 260.6 
Word: wallpaper, start_time: 260.6, end_time: 262.1 
Word: wallpaper, start_time: 262.1, end_time: 263.4 
Word: Transformers, start_time: 263.4, end_time: 263.8 
Transcript:  Avenida Celso Miguel wisnik o fuzil impossible I ask for refund Argentina and Health technology você está afim 9° game porco secas Beth The Walking Dead negotiations me reaction Engineering conferences distribuidor favorito do tempo eles esqueceram da Hinode boneca descendentes alguns formulários de casados tempo focalizar havia de ser mentiroso meme source of Power sources of You always work 
confidence: 0.9028623104095459 

Word: Avenida, start_time: 267.7, end_time: 268.5 
Word: Celso, start_time: 268.5, end_time: 269.1 
Word: Miguel, start_time: 269.1, end_time: 269.5 
Word: wisnik, start_time: 269.5, end_time: 270.8 
Word: o, start_time: 270.8, end_time: 270.9 
Word: fuzil, start_time: 270.9, end_time: 271.6 
Word: impossible, start_time: 271.6, end_time: 273.1 
Word: I, start_time: 273.1, end_time: 273.2 
Word: ask, start_time: 273.2, end_time: 275.2 
Word: for, start_time: 275.2, end_time: 275.3 
Word: refund, start_time: 275.3, end_time: 275.8 
Word: Argentina, start_time: 275.8, end_time: 276.5 
Word: and, start_time: 276.5, end_time: 276.7 
Word: Health, start_time: 276.7, end_time: 277.3 
Word: technology, start_time: 277.3, end_time: 278.1 
Word: você, start_time: 278.1, end_time: 281.0 
Word: está, start_time: 281.0, end_time: 281.2 
Word: afim, start_time: 281.2, end_time: 281.4 
Word: 9°, start_time: 281.4, end_time: 281.6 
Word: game, start_time: 281.6, end_time: 284.1 
Word: porco, start_time: 284.1, end_time: 285.7 
Word: secas, start_time: 285.7, end_time: 285.9 
Word: Beth, start_time: 285.9, end_time: 286.1 
Word: The, start_time: 286.1, end_time: 286.6 
Word: Walking, start_time: 286.6, end_time: 286.6 
Word: Dead, start_time: 286.6, end_time: 287.8 
Word: negotiations, start_time: 287.8, end_time: 293.8 
Word: me, start_time: 293.8, end_time: 295.1 
Word: reaction, start_time: 295.1, end_time: 295.4 
Word: Engineering, start_time: 295.4, end_time: 296.0 
Word: conferences, start_time: 296.0, end_time: 301.8 
Word: distribuidor, start_time: 301.8, end_time: 305.1 
Word: favorito, start_time: 305.1, end_time: 305.7 
Word: do, start_time: 305.7, end_time: 305.8 
Word: tempo, start_time: 305.8, end_time: 306.2 
Word: eles, start_time: 306.2, end_time: 306.9 
Word: esqueceram, start_time: 306.9, end_time: 308.1 
Word: da, start_time: 308.1, end_time: 308.4 
Word: Hinode, start_time: 308.4, end_time: 309.6 
Word: boneca, start_time: 309.6, end_time: 310.2 
Word: descendentes, start_time: 310.2, end_time: 311.5 
Word: alguns, start_time: 311.5, end_time: 312.8 
Word: formulários, start_time: 312.8, end_time: 315.6 
Word: de, start_time: 315.6, end_time: 317.5 
Word: casados, start_time: 317.5, end_time: 318.0 
Word: tempo, start_time: 318.0, end_time: 319.1 
Word: focalizar, start_time: 319.1, end_time: 319.7 
Word: havia, start_time: 319.7, end_time: 320.3 
Word: de, start_time: 320.3, end_time: 320.5 
Word: ser, start_time: 320.5, end_time: 320.6 
Word: mentiroso, start_time: 320.6, end_time: 322.3 
Word: meme, start_time: 322.3, end_time: 322.9 
Word: source, start_time: 322.9, end_time: 323.7 
Word: of, start_time: 323.7, end_time: 324.2 
Word: Power, start_time: 324.2, end_time: 324.4 
Word: sources, start_time: 324.4, end_time: 324.8 
Word: of, start_time: 324.8, end_time: 325.2 
Word: You, start_time: 325.2, end_time: 325.4 
Word: always, start_time: 325.4, end_time: 325.9 
Word: work, start_time: 325.9, end_time: 327.3 
Transcript:  andamento de France 2017 ouvir Ivanilda Snap wiggle wiggle wiggle position Absolute Center Omnitrix FX 9.370 transformar em Olimpíadas 2016 negotiation onde se desenvolve a novamente o texto alfajor com flores no cabelo 
confidence: 0.8332886099815369 

Word: andamento, start_time: 327.7, end_time: 331.6 
Word: de, start_time: 331.6, end_time: 332.2 
Word: France, start_time: 332.2, end_time: 332.7 
Word: 2017, start_time: 332.7, end_time: 334.1 
Word: ouvir, start_time: 334.1, end_time: 335.1 
Word: Ivanilda, start_time: 335.1, end_time: 342.2 
Word: Snap, start_time: 342.2, end_time: 342.8 
Word: wiggle, start_time: 342.8, end_time: 343.4 
Word: wiggle, start_time: 343.4, end_time: 343.9 
Word: wiggle, start_time: 343.9, end_time: 345.4 
Word: position, start_time: 345.4, end_time: 345.7 
Word: Absolute, start_time: 345.7, end_time: 346.7 
Word: Center, start_time: 346.7, end_time: 347.3 
Word: Omnitrix, start_time: 347.3, end_time: 350.7 
Word: FX, start_time: 350.7, end_time: 350.8 
Word: 9.370, start_time: 350.8, end_time: 355.2 
Word: transformar, start_time: 355.2, end_time: 359.6 
Word: em, start_time: 359.6, end_time: 359.8 
Word: Olimpíadas, start_time: 359.8, end_time: 364.8 
Word: 2016, start_time: 364.8, end_time: 369.8 
Word: negotiation, start_time: 369.8, end_time: 376.9 
Word: onde, start_time: 376.9, end_time: 378.2 
Word: se, start_time: 378.2, end_time: 378.8 
Word: desenvolve, start_time: 378.8, end_time: 380.6 
Word: a, start_time: 380.6, end_time: 380.7 
Word: novamente, start_time: 380.7, end_time: 381.5 
Word: o, start_time: 381.5, end_time: 382.0 
Word: texto, start_time: 382.0, end_time: 382.4 
Word: alfajor, start_time: 382.4, end_time: 383.6 
Word: com, start_time: 383.6, end_time: 384.3 
Word: flores, start_time: 384.3, end_time: 385.2 
Word: no, start_time: 385.2, end_time: 385.5 
Word: cabelo, start_time: 385.5, end_time: 387.2 
Transcript:  Moura Clean Slim Samsung full of Sweet love song baby Selena Gomez Whiplash smile and lies between the last of west end Street Fighter game of skate Renato dentista Station Rua 701 prospect 
confidence: 0.90525883436203 

Word: Moura, start_time: 387.6, end_time: 389.3 
Word: Clean, start_time: 389.3, end_time: 389.6 
Word: Slim, start_time: 389.6, end_time: 389.9 
Word: Samsung, start_time: 389.9, end_time: 390.8 
Word: full, start_time: 390.8, end_time: 391.3 
Word: of, start_time: 391.3, end_time: 392.2 
Word: Sweet, start_time: 392.2, end_time: 392.5 
Word: love, start_time: 392.5, end_time: 393.3 
Word: song, start_time: 393.3, end_time: 393.5 
Word: baby, start_time: 393.5, end_time: 394.1 
Word: Selena, start_time: 394.1, end_time: 394.2 
Word: Gomez, start_time: 394.2, end_time: 396.1 
Word: Whiplash, start_time: 396.1, end_time: 399.7 
Word: smile, start_time: 399.7, end_time: 401.0 
Word: and, start_time: 401.0, end_time: 402.8 
Word: lies, start_time: 402.8, end_time: 403.0 
Word: between, start_time: 403.0, end_time: 403.2 
Word: the, start_time: 403.2, end_time: 403.5 
Word: last, start_time: 403.5, end_time: 404.0 
Word: of, start_time: 404.0, end_time: 404.6 
Word: west, start_time: 404.6, end_time: 404.9 
Word: end, start_time: 404.9, end_time: 405.2 
Word: Street, start_time: 405.2, end_time: 406.3 
Word: Fighter, start_time: 406.3, end_time: 407.5 
Word: game, start_time: 407.5, end_time: 408.0 
Word: of, start_time: 408.0, end_time: 408.4 
Word: skate, start_time: 408.4, end_time: 408.8 
Word: Renato, start_time: 408.8, end_time: 409.9 
Word: dentista, start_time: 409.9, end_time: 414.2 
Word: Station, start_time: 414.2, end_time: 414.8 
Word: Rua, start_time: 414.8, end_time: 415.1 
Word: 701, start_time: 415.1, end_time: 419.1 
Word: prospect, start_time: 419.1, end_time: 421.0 
Transcript:  Unilever tua calma deixa inscrições menor menor fios da força utilizando somente sinthoresp tem Cristiano Alves 
confidence: 0.8205544352531433 

Word: Unilever, start_time: 422.4, end_time: 423.5 
Word: tua, start_time: 423.5, end_time: 424.1 
Word: calma, start_time: 424.1, end_time: 424.5 
Word: deixa, start_time: 424.5, end_time: 424.8 
Word: inscrições, start_time: 424.8, end_time: 425.6 
Word: menor, start_time: 425.6, end_time: 426.1 
Word: menor, start_time: 426.1, end_time: 426.9 
Word: fios, start_time: 426.9, end_time: 427.5 
Word: da, start_time: 427.5, end_time: 427.8 
Word: força, start_time: 427.8, end_time: 429.4 
Word: utilizando, start_time: 429.4, end_time: 430.9 
Word: somente, start_time: 430.9, end_time: 431.3 
Word: sinthoresp, start_time: 431.3, end_time: 435.6 
Word: tem, start_time: 435.6, end_time: 435.8 
Word: Cristiano, start_time: 435.8, end_time: 436.8 
Word: Alves, start_time: 436.8, end_time: 438.2 
Transcript:  adição técnica CCE Gilson planalto planície fluviomarinha marca de serviço de negócios hoje não Faro imitando Neve 
confidence: 0.7753813862800598 

Word: adição, start_time: 445.0, end_time: 446.3 
Word: técnica, start_time: 446.3, end_time: 447.0 
Word: CCE, start_time: 447.0, end_time: 447.9 
Word: Gilson, start_time: 447.9, end_time: 448.2 
Word: planalto, start_time: 448.2, end_time: 458.8 
Word: planície, start_time: 458.8, end_time: 459.3 
Word: fluviomarinha, start_time: 459.3, end_time: 461.9 
Word: marca, start_time: 461.9, end_time: 471.9 
Word: de, start_time: 471.9, end_time: 472.9 
Word: serviço, start_time: 472.9, end_time: 473.8 
Word: de, start_time: 473.8, end_time: 473.9 
Word: negócios, start_time: 473.9, end_time: 474.8 
Word: hoje, start_time: 474.8, end_time: 475.0 
Word: não, start_time: 475.0, end_time: 475.3 
Word: Faro, start_time: 475.3, end_time: 475.6 
Word: imitando, start_time: 475.6, end_time: 476.1 
Word: Neve, start_time: 476.1, end_time: 476.5 
Transcript:  comercial pirakids Avenida santidade Anderson de órgãos normativos e industrializados ainda sentimos ouvir todas as faixas 
confidence: 0.7449767589569092 

Word: comercial, start_time: 478.1, end_time: 480.2 
Word: pirakids, start_time: 480.2, end_time: 480.8 
Word: Avenida, start_time: 480.8, end_time: 486.7 
Word: santidade, start_time: 486.7, end_time: 487.0 
Word: Anderson, start_time: 487.0, end_time: 487.4 
Word: de, start_time: 487.4, end_time: 487.9 
Word: órgãos, start_time: 487.9, end_time: 488.3 
Word: normativos, start_time: 488.3, end_time: 491.8 
Word: e, start_time: 491.8, end_time: 492.0 
Word: industrializados, start_time: 492.0, end_time: 494.4 
Word: ainda, start_time: 494.4, end_time: 494.9 
Word: sentimos, start_time: 494.9, end_time: 495.5 
Word: ouvir, start_time: 495.5, end_time: 496.7 
Word: todas, start_time: 496.7, end_time: 497.7 
Word: as, start_time: 497.7, end_time: 498.2 
Word: faixas, start_time: 498.2, end_time: 498.4 
Transcript:  hamburguer Gourmet linda que nada o que esses movimentos erradicar os Saiyajins 1993 extra.com wiggle Faltando Eu vou falar com Vivo On Fire grátis WeChat web elas estão chegando ao Brasil cycle Fair 2017 ao vivo no Pacaembu segundo sair da Independência 2012 MP3 night night at freddy's Evolution 
confidence: 0.8749210834503174 

Word: hamburguer, start_time: 503.4, end_time: 505.3 
Word: Gourmet, start_time: 505.3, end_time: 505.7 
Word: linda, start_time: 505.7, end_time: 506.1 
Word: que, start_time: 506.1, end_time: 506.2 
Word: nada, start_time: 506.2, end_time: 506.5 
Word: o, start_time: 506.5, end_time: 506.6 
Word: que, start_time: 506.6, end_time: 506.6 
Word: esses, start_time: 506.6, end_time: 507.0 
Word: movimentos, start_time: 507.0, end_time: 507.2 
Word: erradicar, start_time: 507.2, end_time: 508.2 
Word: os, start_time: 508.2, end_time: 509.2 
Word: Saiyajins, start_time: 509.2, end_time: 509.7 
Word: 1993, start_time: 509.7, end_time: 510.3 
Word: extra.com, start_time: 510.3, end_time: 516.3 
Word: wiggle, start_time: 516.3, end_time: 517.6 
Word: Faltando, start_time: 517.6, end_time: 518.3 
Word: Eu, start_time: 518.3, end_time: 518.4 
Word: vou, start_time: 518.4, end_time: 518.5 
Word: falar, start_time: 518.5, end_time: 518.9 
Word: com, start_time: 518.9, end_time: 519.3 
Word: Vivo, start_time: 519.3, end_time: 520.9 
Word: On, start_time: 520.9, end_time: 521.0 
Word: Fire, start_time: 521.0, end_time: 521.9 
Word: grátis, start_time: 521.9, end_time: 522.0 
Word: WeChat, start_time: 522.0, end_time: 525.6 
Word: web, start_time: 525.6, end_time: 527.7 
Word: elas, start_time: 527.7, end_time: 529.8 
Word: estão, start_time: 529.8, end_time: 530.0 
Word: chegando, start_time: 530.0, end_time: 530.1 
Word: ao, start_time: 530.1, end_time: 531.6 
Word: Brasil, start_time: 531.6, end_time: 532.4 
Word: cycle, start_time: 532.4, end_time: 534.7 
Word: Fair, start_time: 534.7, end_time: 534.7 
Word: 2017, start_time: 534.7, end_time: 540.9 
Word: ao, start_time: 540.9, end_time: 541.3 
Word: vivo, start_time: 541.3, end_time: 541.4 
Word: no, start_time: 541.4, end_time: 541.8 
Word: Pacaembu, start_time: 541.8, end_time: 542.2 
Word: segundo, start_time: 542.2, end_time: 543.5 
Word: sair, start_time: 543.5, end_time: 543.7 
Word: da, start_time: 543.7, end_time: 544.1 
Word: Independência, start_time: 544.1, end_time: 545.9 
Word: 2012, start_time: 545.9, end_time: 552.7 
Word: MP3, start_time: 552.7, end_time: 553.7 
Word: night, start_time: 553.7, end_time: 554.5 
Word: night, start_time: 554.5, end_time: 554.9 
Word: at, start_time: 554.9, end_time: 555.2 
Word: freddy's, start_time: 555.2, end_time: 556.4 
Word: Evolution, start_time: 556.4, end_time: 558.5 
Transcript:  até quanto tempo que você não deve fazer a barba porque nordestino é especial for aí o centro de Maricá Inoã times of RJ favor inside volley Fast Furious 8 Soundtrack Halloween shots Studios polia do câmbio alberdi salto metalizado Rose 
confidence: 0.6488648653030396 

Word: até, start_time: 563.4, end_time: 565.0 
Word: quanto, start_time: 565.0, end_time: 565.9 
Word: tempo, start_time: 565.9, end_time: 566.0 
Word: que, start_time: 566.0, end_time: 567.1 
Word: você, start_time: 567.1, end_time: 567.8 
Word: não, start_time: 567.8, end_time: 568.4 
Word: deve, start_time: 568.4, end_time: 571.2 
Word: fazer, start_time: 571.2, end_time: 571.7 
Word: a, start_time: 571.7, end_time: 572.4 
Word: barba, start_time: 572.4, end_time: 576.5 
Word: porque, start_time: 576.5, end_time: 576.6 
Word: nordestino, start_time: 576.6, end_time: 581.8 
Word: é, start_time: 581.8, end_time: 582.4 
Word: especial, start_time: 582.4, end_time: 583.6 
Word: for, start_time: 583.6, end_time: 584.9 
Word: aí, start_time: 584.9, end_time: 585.9 
Word: o, start_time: 585.9, end_time: 586.1 
Word: centro, start_time: 586.1, end_time: 587.6 
Word: de, start_time: 587.6, end_time: 587.8 
Word: Maricá, start_time: 587.8, end_time: 588.3 
Word: Inoã, start_time: 588.3, end_time: 588.7 
Word: times, start_time: 588.7, end_time: 589.3 
Word: of, start_time: 589.3, end_time: 589.7 
Word: RJ, start_time: 589.7, end_time: 590.0 
Word: favor, start_time: 590.0, end_time: 600.2 
Word: inside, start_time: 600.2, end_time: 600.7 
Word: volley, start_time: 600.7, end_time: 601.1 
Word: Fast, start_time: 601.1, end_time: 601.6 
Word: Furious, start_time: 601.6, end_time: 602.2 
Word: 8, start_time: 602.2, end_time: 602.5 
Word: Soundtrack, start_time: 602.5, end_time: 603.0 
Word: Halloween, start_time: 603.0, end_time: 603.9 
Word: shots, start_time: 603.9, end_time: 605.8 
Word: Studios, start_time: 605.8, end_time: 612.1 
Word: polia, start_time: 612.1, end_time: 613.7 
Word: do, start_time: 613.7, end_time: 613.9 
Word: câmbio, start_time: 613.9, end_time: 614.0 
Word: alberdi, start_time: 614.0, end_time: 614.6 
Word: salto, start_time: 614.6, end_time: 617.0 
Word: metalizado, start_time: 617.0, end_time: 621.8 
Word: Rose, start_time: 621.8, end_time: 623.2 
Transcript:  como excluir a quebra da glicose produzidos por Elvis Cavalieri Fluminense x Atlético relações estabelecidas entre álcool isopropílico Curitiba Paraná 2017 nós 50 m Force 
confidence: 0.8008753657341003 

Word: como, start_time: 623.3, end_time: 624.5 
Word: excluir, start_time: 624.5, end_time: 624.8 
Word: a, start_time: 624.8, end_time: 625.1 
Word: quebra, start_time: 625.1, end_time: 625.3 
Word: da, start_time: 625.3, end_time: 625.6 
Word: glicose, start_time: 625.6, end_time: 627.2 
Word: produzidos, start_time: 627.2, end_time: 630.3 
Word: por, start_time: 630.3, end_time: 631.4 
Word: Elvis, start_time: 631.4, end_time: 631.8 
Word: Cavalieri, start_time: 631.8, end_time: 632.2 
Word: Fluminense, start_time: 632.2, end_time: 637.1 
Word: x, start_time: 637.1, end_time: 639.4 
Word: Atlético, start_time: 639.4, end_time: 640.2 
Word: relações, start_time: 640.2, end_time: 641.1 
Word: estabelecidas, start_time: 641.1, end_time: 642.3 
Word: entre, start_time: 642.3, end_time: 642.5 
Word: álcool, start_time: 642.5, end_time: 648.3 
Word: isopropílico, start_time: 648.3, end_time: 648.4 
Word: Curitiba, start_time: 648.4, end_time: 662.2 
Word: Paraná, start_time: 662.2, end_time: 664.6 
Word: 2017, start_time: 664.6, end_time: 678.5 
Word: nós, start_time: 678.5, end_time: 679.0 
Word: 50, start_time: 679.0, end_time: 679.7 
Word: m, start_time: 679.7, end_time: 680.0 
Word: Force, start_time: 680.0, end_time: 680.4 
Transcript:  o negócio do século de guerras 9800 Import casa viu em mim então os ouvirei e 17:12 se você for the Moment vulfpeck falando sobre essas duas afirmativas 1604 Sony Xperia L de reflexão 
confidence: 0.726306676864624 

Word: o, start_time: 682.1, end_time: 682.1 
Word: negócio, start_time: 682.1, end_time: 683.0 
Word: do, start_time: 683.0, end_time: 683.2 
Word: século, start_time: 683.2, end_time: 683.4 
Word: de, start_time: 683.4, end_time: 684.7 
Word: guerras, start_time: 684.7, end_time: 685.2 
Word: 9800, start_time: 685.2, end_time: 693.1 
Word: Import, start_time: 693.1, end_time: 696.0 
Word: casa, start_time: 696.0, end_time: 696.3 
Word: viu, start_time: 696.3, end_time: 696.6 
Word: em, start_time: 696.6, end_time: 696.7 
Word: mim, start_time: 696.7, end_time: 696.9 
Word: então, start_time: 696.9, end_time: 697.3 
Word: os, start_time: 697.3, end_time: 698.2 
Word: ouvirei, start_time: 698.2, end_time: 698.9 
Word: e, start_time: 698.9, end_time: 698.9 
Word: 17:12, start_time: 698.9, end_time: 712.7 
Word: se, start_time: 712.7, end_time: 718.7 
Word: você, start_time: 718.7, end_time: 719.0 
Word: for, start_time: 719.0, end_time: 719.5 
Word: the, start_time: 719.5, end_time: 720.3 
Word: Moment, start_time: 720.3, end_time: 720.9 
